Runtime (microseconds), 259690
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3, Fitness Island 4, Fitness Island 5, Fitness Island 6, Fitness Island 7
0, 540, 533, 548, 544, 537, 551, 545, 539, 
1, 547, 535, 544, 549, 550, 546, 546, 542, 
2, 547, 552, 548, 560, 546, 552, 547, 543, 
3, 553, 554, 551, 559, 550, 559, 550, 552, 
4, 555, 559, 554, 564, 555, 561, 551, 557, 
5, 558, 561, 571, 564, 561, 565, 560, 571, 
6, 566, 565, 574, 565, 562, 565, 565, 568, 
7, 569, 563, 573, 566, 567, 565, 570, 572, 
8, 579, 570, 579, 566, 574, 566, 573, 574, 
9, 584, 571, 582, 568, 575, 568, 572, 577, 
10, 586, 575, 583, 569, 577, 569, 574, 578, 
11, 588, 578, 590, 583, 581, 586, 575, 580, 
12, 591, 580, 592, 584, 587, 581, 579, 580, 
13, 592, 581, 594, 585, 590, 591, 581, 590, 
14, 594, 582, 596, 586, 592, 594, 589, 590, 
15, 596, 587, 598, 588, 595, 598, 592, 599, 
16, 597, 587, 609, 589, 600, 600, 598, 600, 
17, 599, 591, 609, 590, 600, 600, 598, 601, 
18, 601, 594, 611, 591, 601, 604, 599, 601, 
19, 602, 602, 613, 600, 603, 603, 602, 611, 
20, 603, 601, 615, 601, 613, 607, 602, 614, 
21, 610, 611, 618, 605, 614, 617, 606, 615, 
22, 614, 613, 618, 610, 616, 618, 614, 617, 
23, 618, 613, 619, 617, 618, 619, 621, 618, 
24, 619, 617, 621, 625, 620, 620, 623, 619, 
25, 619, 623, 621, 619, 621, 622, 630, 619, 
26, 621, 627, 622, 621, 630, 622, 630, 620, 
27, 623, 630, 623, 630, 630, 625, 631, 624, 
28, 623, 631, 624, 632, 629, 625, 632, 623, 
29, 627, 632, 625, 632, 631, 627, 633, 623, 
30, 628, 633, 627, 633, 634, 632, 633, 630, 
31, 629, 633, 631, 634, 633, 637, 634, 628, 
32, 631, 635, 642, 635, 633, 639, 634, 636, 
33, 632, 642, 646, 646, 638, 637, 635, 637, 
34, 636, 642, 647, 643, 644, 640, 635, 641, 
35, 643, 643, 649, 643, 646, 641, 641, 642, 
36, 642, 648, 650, 644, 649, 643, 641, 649, 
37, 651, 648, 651, 645, 650, 644, 649, 650, 
38, 651, 649, 652, 651, 652, 643, 646, 650, 
39, 655, 650, 653, 651, 654, 648, 653, 650, 
40, 657, 650, 652, 651, 654, 649, 653, 651, 
41, 658, 651, 654, 652, 654, 655, 655, 654, 
42, 663, 652, 656, 653, 655, 656, 655, 655, 
43, 663, 653, 657, 653, 657, 664, 658, 660, 
44, 663, 654, 659, 655, 658, 663, 660, 660, 
45, 663, 656, 663, 655, 665, 664, 664, 661, 
46, 665, 661, 666, 656, 665, 667, 667, 662, 
47, 664, 667, 667, 657, 666, 666, 669, 662, 
48, 665, 667, 667, 666, 669, 669, 669, 665, 
49, 665, 671, 670, 663, 667, 671, 669, 667, 
50, 667, 672, 672, 666, 668, 671, 670, 668, 
51, 668, 672, 671, 670, 669, 675, 673, 671, 
52, 671, 673, 675, 669, 670, 674, 676, 673, 
53, 676, 673, 675, 674, 672, 674, 675, 672, 
54, 679, 675, 677, 674, 675, 677, 675, 676, 
55, 679, 678, 678, 676, 678, 678, 678, 680, 
56, 678, 681, 681, 676, 681, 678, 679, 679, 
57, 682, 682, 681, 678, 682, 680, 679, 680, 
58, 686, 683, 683, 679, 685, 682, 682, 680, 
59, 692, 684, 685, 684, 683, 682, 683, 682, 
60, 692, 687, 685, 688, 684, 683, 685, 685, 
61, 687, 688, 686, 686, 685, 686, 684, 684, 
62, 690, 690, 687, 686, 686, 686, 686, 686, 
63, 691, 692, 690, 690, 692, 689, 686, 686, 
64, 690, 694, 693, 694, 693, 692, 687, 692, 
65, 694, 696, 695, 694, 694, 695, 689, 693, 
66, 694, 695, 696, 693, 695, 695, 694, 693, 
67, 696, 697, 698, 695, 697, 696, 695, 694, 
68, 696, 699, 697, 696, 697, 698, 695, 697, 
69, 702, 701, 698, 702, 697, 697, 697, 697, 
70, 703, 702, 699, 703, 698, 701, 698, 697, 
71, 704, 703, 700, 704, 699, 701, 699, 699, 
72, 704, 704, 703, 705, 704, 704, 704, 707, 
73, 704, 704, 705, 706, 707, 705, 704, 706, 
74, 706, 707, 706, 708, 707, 706, 705, 707, 
75, 706, 706, 705, 710, 708, 707, 709, 707, 
76, 712, 707, 706, 714, 711, 708, 709, 708, 
77, 710, 706, 707, 713, 712, 710, 713, 709, 
78, 713, 707, 709, 714, 713, 709, 714, 710, 
79, 713, 709, 710, 715, 714, 712, 715, 711, 
80, 715, 715, 712, 716, 714, 713, 717, 716, 
81, 717, 714, 714, 717, 716, 714, 717, 717, 
82, 718, 715, 713, 719, 717, 715, 718, 718, 
83, 718, 716, 716, 718, 717, 716, 718, 718, 
84, 721, 717, 719, 722, 723, 719, 721, 722, 
85, 721, 718, 719, 723, 725, 720, 722, 724, 
86, 722, 720, 722, 725, 725, 723, 722, 724, 
87, 724, 721, 724, 725, 726, 723, 723, 725, 
88, 726, 721, 726, 725, 727, 725, 724, 727, 
89, 725, 726, 727, 724, 731, 726, 725, 729, 
90, 728, 725, 728, 727, 731, 728, 726, 729, 
91, 728, 726, 728, 730, 732, 732, 726, 729, 
92, 729, 730, 729, 732, 734, 736, 729, 729, 
93, 731, 731, 729, 733, 735, 737, 729, 730, 
94, 732, 732, 735, 735, 735, 735, 730, 731, 
95, 733, 736, 736, 736, 737, 738, 732, 733, 
96, 736, 735, 735, 736, 739, 739, 733, 733, 
97, 733, 735, 735, 739, 741, 739, 734, 734, 
98, 734, 737, 737, 742, 742, 740, 738, 736, 
99, 736, 739, 738, 746, 742, 741, 739, 738, 
100, 737, 740, 740, 747, 744, 741, 739, 737, 
101, 738, 746, 742, 747, 744, 742, 743, 743, 
102, 743, 745, 745, 748, 744, 745, 744, 742, 
103, 741, 747, 744, 749, 744, 745, 744, 745, 
104, 744, 751, 745, 749, 746, 745, 747, 748, 
105, 747, 754, 745, 749, 746, 748, 748, 749, 
106, 748, 754, 747, 751, 747, 749, 752, 753, 
107, 749, 754, 753, 752, 749, 749, 754, 749, 
108, 749, 755, 756, 754, 748, 753, 754, 751, 
109, 749, 756, 757, 754, 750, 755, 756, 753, 
110, 750, 758, 759, 758, 753, 755, 763, 755, 
111, 753, 758, 763, 758, 757, 755, 766, 760, 
112, 760, 759, 764, 758, 759, 759, 763, 764, 
113, 760, 760, 764, 759, 759, 761, 766, 763, 
114, 763, 761, 765, 759, 760, 763, 769, 762, 
115, 761, 762, 766, 762, 762, 766, 768, 763, 
116, 766, 762, 767, 763, 763, 766, 769, 764, 
117, 766, 769, 766, 763, 765, 766, 771, 764, 
118, 766, 769, 768, 765, 767, 767, 771, 770, 
119, 768, 766, 768, 768, 770, 769, 774, 773, 
120, 768, 769, 769, 768, 771, 769, 774, 771, 
121, 769, 773, 770, 772, 771, 772, 776, 773, 
122, 770, 777, 770, 772, 773, 773, 776, 773, 
123, 772, 781, 773, 774, 773, 773, 777, 775, 
124, 776, 780, 778, 777, 778, 773, 778, 778, 
125, 774, 784, 778, 777, 777, 777, 780, 784, 
126, 780, 783, 778, 778, 779, 778, 779, 783, 
127, 781, 783, 780, 779, 781, 780, 781, 783, 
128, 782, 783, 783, 780, 781, 782, 783, 786, 
129, 783, 785, 783, 783, 782, 784, 783, 786, 
130, 785, 785, 782, 785, 784, 785, 785, 786, 
131, 786, 789, 784, 786, 786, 785, 786, 787, 
132, 785, 790, 784, 785, 787, 786, 787, 786, 
133, 789, 790, 785, 786, 789, 786, 789, 788, 
134, 788, 792, 787, 787, 790, 789, 791, 788, 
135, 790, 793, 787, 788, 791, 789, 792, 789, 
136, 791, 793, 790, 790, 791, 790, 793, 793, 
137, 794, 793, 792, 790, 792, 791, 794, 791, 
138, 794, 793, 794, 791, 792, 794, 796, 793, 
139, 795, 796, 794, 792, 792, 794, 797, 794, 
140, 794, 796, 797, 793, 793, 795, 798, 796, 
141, 798, 798, 797, 795, 794, 795, 799, 796, 
142, 799, 800, 800, 800, 799, 796, 799, 800, 
143, 801, 800, 800, 800, 798, 797, 799, 800, 
144, 802, 802, 801, 802, 798, 800, 799, 802, 
145, 803, 803, 801, 802, 804, 798, 800, 802, 
146, 804, 804, 803, 802, 805, 802, 804, 802, 
147, 805, 804, 806, 805, 805, 804, 805, 803, 
148, 809, 805, 805, 807, 806, 804, 805, 805, 
149, 809, 805, 808, 812, 806, 805, 806, 806, 
150, 810, 805, 809, 812, 807, 807, 809, 807, 
151, 812, 805, 810, 814, 809, 812, 809, 809, 
152, 811, 811, 810, 814, 810, 817, 809, 810, 
153, 815, 811, 811, 814, 811, 817, 810, 812, 
154, 816, 811, 811, 815, 812, 819, 815, 812, 
155, 818, 817, 811, 816, 814, 818, 817, 812, 
156, 819, 816, 813, 816, 814, 819, 818, 817, 
157, 818, 812, 819, 817, 817, 818, 822, 818, 
158, 821, 816, 823, 817, 818, 820, 825, 818, 
159, 819, 818, 824, 819, 821, 821, 825, 818, 
160, 819, 822, 824, 820, 821, 821, 824, 818, 
161, 822, 820, 825, 820, 824, 822, 825, 818, 
162, 823, 824, 827, 821, 824, 822, 825, 821, 
163, 823, 825, 826, 823, 823, 824, 826, 822, 
164, 825, 825, 827, 824, 823, 824, 826, 826, 
165, 826, 826, 828, 826, 824, 824, 826, 825, 
166, 827, 827, 829, 826, 824, 828, 826, 826, 
167, 827, 829, 829, 830, 827, 828, 827, 825, 
168, 828, 830, 829, 832, 828, 830, 827, 829, 
169, 830, 829, 830, 833, 829, 830, 827, 832, 
170, 831, 830, 830, 836, 830, 832, 832, 832, 
171, 833, 831, 831, 836, 830, 834, 832, 832, 
172, 834, 831, 833, 836, 831, 835, 832, 834, 
173, 835, 831, 831, 837, 833, 835, 833, 834, 
174, 836, 832, 834, 837, 834, 836, 834, 837, 
175, 836, 833, 835, 838, 835, 837, 834, 837, 
176, 837, 834, 836, 838, 837, 837, 836, 839, 
177, 838, 837, 836, 838, 838, 839, 835, 841, 
178, 838, 838, 839, 840, 842, 839, 837, 840, 
179, 840, 839, 842, 840, 842, 840, 838, 842, 
180, 841, 841, 843, 841, 842, 839, 843, 844, 
181, 844, 842, 841, 842, 842, 840, 843, 844, 
182, 845, 843, 844, 841, 843, 840, 847, 845, 
183, 845, 847, 846, 847, 843, 841, 847, 846, 
184, 845, 846, 846, 847, 843, 843, 848, 846, 
185, 846, 846, 848, 846, 843, 843, 848, 847, 
186, 847, 847, 847, 847, 845, 845, 848, 847, 
187, 848, 847, 848, 848, 846, 845, 848, 849, 
188, 848, 849, 847, 849, 849, 845, 850, 850, 
189, 850, 849, 849, 849, 850, 846, 850, 851, 
190, 852, 849, 849, 849, 850, 847, 851, 852, 
191, 853, 850, 850, 849, 851, 848, 854, 853, 
192, 853, 850, 849, 850, 851, 852, 854, 854, 
193, 855, 852, 851, 852, 851, 851, 854, 855, 
194, 857, 854, 851, 854, 856, 851, 855, 856, 
195, 858, 855, 853, 856, 855, 853, 856, 856, 
196, 858, 856, 855, 856, 856, 854, 855, 858, 
197, 857, 857, 858, 856, 856, 854, 859, 859, 
198, 857, 857, 858, 857, 855, 855, 860, 861, 
199, 857, 858, 860, 858, 857, 856, 861, 863, 
200, 862, 858, 859, 859, 858, 857, 860, 861, 
201, 862, 861, 859, 859, 859, 861, 861, 861, 
202, 862, 863, 859, 860, 861, 862, 863, 862, 
203, 862, 863, 859, 860, 861, 864, 862, 862, 
204, 861, 862, 860, 861, 861, 863, 863, 863, 
205, 862, 863, 862, 862, 862, 863, 863, 863, 
206, 864, 865, 862, 862, 863, 865, 863, 864, 
207, 864, 863, 862, 862, 865, 865, 862, 864, 
208, 866, 863, 866, 863, 866, 868, 862, 866, 
209, 868, 863, 867, 863, 869, 870, 863, 867, 
210, 868, 865, 868, 864, 867, 871, 864, 867, 
211, 872, 866, 866, 865, 868, 869, 864, 867, 
212, 870, 867, 867, 866, 870, 870, 864, 868, 
213, 871, 868, 867, 866, 871, 871, 867, 869, 
214, 872, 868, 867, 867, 871, 870, 867, 868, 
215, 873, 870, 869, 869, 873, 870, 869, 869, 
216, 872, 871, 872, 869, 874, 872, 871, 869, 
217, 873, 871, 872, 875, 874, 874, 873, 869, 
218, 874, 873, 873, 875, 874, 875, 873, 871, 
