Runtime (microseconds), 398290592
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3
0, 16609, 16619, 16667, 16603, 
1, 16607, 16683, 16718, 16602, 
2, 16656, 16741, 16718, 16688, 
3, 16692, 16761, 16766, 16760, 
4, 16745, 16792, 16762, 16765, 
5, 16776, 16799, 16827, 16783, 
6, 16776, 16831, 16825, 16817, 
7, 16797, 16830, 16856, 16843, 
8, 16804, 16832, 16857, 16843, 
9, 16811, 16831, 16868, 16858, 
10, 16829, 16832, 16913, 16883, 
11, 16879, 16856, 16913, 16895, 
12, 16910, 16920, 16883, 16933, 
13, 16909, 16928, 16886, 16935, 
14, 16914, 16956, 16942, 16963, 
15, 16952, 16990, 16962, 16965, 
16, 16969, 17000, 16961, 16970, 
17, 16973, 17036, 17024, 17024, 
18, 16987, 17037, 17035, 17023, 
19, 16989, 17039, 17051, 17027, 
20, 17014, 17062, 17065, 17036, 
21, 17008, 17063, 17064, 17042, 
22, 17007, 17064, 17074, 17060, 
23, 17012, 17084, 17076, 17073, 
24, 17014, 17085, 17081, 17077, 
25, 17018, 17099, 17083, 17083, 
26, 17045, 17103, 17086, 17087, 
27, 17055, 17106, 17102, 17094, 
28, 17065, 17108, 17114, 17102, 
29, 17101, 17109, 17126, 17123, 
30, 17107, 17112, 17144, 17157, 
31, 17107, 17134, 17159, 17159, 
32, 17128, 17134, 17161, 17177, 
33, 17158, 17160, 17164, 17184, 
34, 17157, 17160, 17165, 17185, 
35, 17172, 17184, 17165, 17183, 
36, 17182, 17179, 17168, 17183, 
37, 17180, 17186, 17175, 17187, 
38, 17184, 17186, 17180, 17189, 
39, 17191, 17201, 17186, 17190, 
40, 17198, 17204, 17197, 17194, 
41, 17197, 17206, 17198, 17194, 
42, 17201, 17207, 17204, 17195, 
43, 17201, 17210, 17205, 17200, 
44, 17203, 17213, 17211, 17206, 
45, 17204, 17213, 17213, 17209, 
46, 17205, 17215, 17214, 17213, 
47, 17214, 17216, 17216, 17216, 
48, 17226, 17217, 17217, 17216, 
49, 17227, 17219, 17220, 17217, 
50, 17230, 17221, 17221, 17220, 
51, 17231, 17221, 17225, 17223, 
52, 17231, 17222, 17227, 17227, 
53, 17232, 17225, 17228, 17230, 
54, 17234, 17229, 17231, 17237, 
55, 17237, 17229, 17236, 17238, 
56, 17237, 17236, 17241, 17240, 
57, 17241, 17238, 17251, 17243, 
58, 17241, 17240, 17252, 17245, 
59, 17247, 17244, 17253, 17249, 
60, 17250, 17249, 17257, 17252, 
61, 17252, 17251, 17262, 17258, 
62, 17258, 17252, 17264, 17261, 
63, 17264, 17253, 17265, 17262, 
64, 17266, 17260, 17266, 17264, 
65, 17267, 17267, 17267, 17264, 
66, 17274, 17270, 17270, 17269, 
67, 17272, 17270, 17276, 17271, 
68, 17278, 17279, 17279, 17276, 
69, 17282, 17279, 17282, 17281, 
70, 17285, 17283, 17282, 17282, 
71, 17286, 17285, 17283, 17288, 
72, 17287, 17290, 17292, 17289, 
73, 17291, 17293, 17285, 17291, 
74, 17290, 17294, 17289, 17292, 
75, 17291, 17298, 17291, 17292, 
76, 17293, 17299, 17297, 17294, 
77, 17293, 17302, 17305, 17297, 
78, 17298, 17307, 17302, 17298, 
79, 17302, 17310, 17305, 17301, 
80, 17301, 17313, 17307, 17301, 
81, 17303, 17315, 17311, 17308, 
82, 17310, 17319, 17312, 17317, 
83, 17312, 17321, 17319, 17321, 
84, 17310, 17321, 17320, 17325, 
85, 17321, 17321, 17325, 17330, 
86, 17321, 17328, 17326, 17333, 
87, 17331, 17330, 17330, 17335, 
88, 17331, 17334, 17329, 17336, 
89, 17336, 17336, 17330, 17337, 
90, 17338, 17339, 17336, 17338, 
91, 17338, 17341, 17338, 17339, 
92, 17339, 17342, 17341, 17341, 
93, 17341, 17343, 17344, 17344, 
94, 17346, 17344, 17350, 17346, 
95, 17348, 17347, 17351, 17347, 
96, 17349, 17348, 17352, 17349, 
97, 17354, 17350, 17353, 17351, 
98, 17352, 17351, 17355, 17353, 
99, 17355, 17353, 17358, 17356, 
100, 17356, 17354, 17360, 17358, 
101, 17358, 17356, 17360, 17361, 
102, 17361, 17359, 17361, 17363, 
103, 17362, 17362, 17363, 17367, 
104, 17366, 17365, 17365, 17369, 
105, 17369, 17366, 17371, 17372, 
106, 17371, 17367, 17371, 17372, 
107, 17375, 17369, 17373, 17376, 
108, 17375, 17371, 17373, 17378, 
