Runtime (microseconds), 367504
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3
0, 540, 535, 548, 544, 
1, 539, 537, 558, 548, 
2, 552, 546, 567, 555, 
3, 558, 552, 569, 557, 
4, 569, 554, 567, 561, 
5, 568, 570, 570, 566, 
6, 568, 572, 577, 572, 
7, 569, 575, 584, 577, 
8, 574, 580, 589, 577, 
9, 587, 581, 589, 580, 
10, 592, 589, 589, 585, 
11, 595, 588, 590, 589, 
12, 597, 592, 593, 592, 
13, 599, 594, 596, 599, 
14, 602, 599, 598, 608, 
15, 605, 605, 599, 608, 
16, 605, 607, 606, 614, 
17, 612, 608, 611, 615, 
18, 615, 610, 617, 622, 
19, 619, 613, 618, 623, 
20, 622, 617, 619, 624, 
21, 623, 618, 622, 624, 
22, 623, 621, 625, 630, 
23, 625, 624, 627, 633, 
24, 628, 627, 630, 633, 
25, 629, 631, 630, 641, 
26, 631, 634, 633, 641, 
27, 632, 638, 635, 642, 
28, 636, 640, 635, 644, 
29, 637, 643, 637, 650, 
30, 640, 645, 637, 653, 
31, 648, 651, 640, 656, 
32, 647, 649, 640, 656, 
33, 649, 653, 654, 657, 
34, 649, 654, 656, 658, 
35, 652, 658, 657, 658, 
36, 653, 658, 657, 660, 
37, 654, 660, 658, 660, 
38, 660, 662, 660, 661, 
39, 660, 666, 661, 663, 
40, 662, 666, 664, 665, 
41, 662, 666, 668, 666, 
42, 666, 669, 668, 667, 
43, 667, 670, 668, 671, 
44, 671, 674, 669, 673, 
45, 670, 676, 671, 675, 
46, 673, 678, 672, 674, 
47, 677, 679, 676, 677, 
48, 676, 681, 678, 679, 
49, 680, 683, 678, 679, 
50, 678, 683, 682, 682, 
51, 680, 685, 683, 684, 
52, 682, 686, 684, 687, 
53, 681, 688, 689, 692, 
54, 683, 690, 691, 690, 
55, 684, 690, 690, 690, 
56, 688, 691, 690, 690, 
57, 689, 693, 691, 691, 
58, 692, 693, 693, 693, 
59, 693, 693, 693, 692, 
60, 693, 695, 696, 696, 
61, 696, 697, 696, 696, 
62, 697, 696, 699, 696, 
63, 698, 699, 699, 698, 
64, 698, 703, 703, 700, 
65, 700, 705, 705, 705, 
66, 699, 707, 706, 709, 
67, 703, 708, 708, 710, 
68, 706, 710, 709, 712, 
69, 709, 712, 715, 713, 
70, 711, 713, 715, 717, 
71, 712, 714, 715, 715, 
72, 713, 716, 717, 718, 
73, 715, 716, 717, 719, 
74, 716, 717, 719, 720, 
75, 718, 719, 719, 719, 
76, 718, 719, 720, 722, 
77, 720, 722, 723, 722, 
78, 721, 722, 723, 724, 
79, 722, 725, 723, 724, 
80, 723, 727, 725, 726, 
81, 726, 727, 726, 726, 
82, 727, 727, 727, 727, 
83, 727, 728, 728, 728, 
84, 731, 728, 730, 728, 
85, 731, 730, 731, 729, 
86, 732, 735, 732, 731, 
87, 735, 736, 733, 732, 
88, 736, 736, 736, 734, 
89, 737, 736, 736, 734, 
90, 738, 740, 740, 735, 
91, 738, 743, 740, 736, 
92, 738, 742, 740, 739, 
93, 741, 744, 741, 744, 
94, 742, 743, 741, 746, 
95, 742, 746, 742, 746, 
96, 743, 747, 744, 749, 
97, 744, 747, 744, 749, 
98, 746, 748, 747, 749, 
99, 747, 750, 746, 750, 
100, 747, 752, 749, 751, 
101, 749, 753, 750, 751, 
102, 750, 753, 751, 752, 
103, 751, 755, 754, 754, 
104, 753, 756, 756, 757, 
105, 755, 758, 756, 758, 
106, 757, 759, 757, 759, 
107, 758, 759, 759, 761, 
108, 761, 760, 761, 762, 
109, 763, 762, 762, 764, 
110, 762, 763, 765, 764, 
111, 764, 763, 767, 764, 
112, 764, 765, 767, 768, 
113, 769, 766, 771, 768, 
114, 775, 768, 772, 773, 
115, 777, 770, 773, 773, 
116, 779, 772, 773, 775, 
117, 777, 773, 775, 774, 
118, 777, 777, 777, 778, 
119, 781, 778, 779, 779, 
120, 783, 779, 780, 782, 
121, 784, 782, 781, 780, 
122, 786, 785, 782, 782, 
123, 785, 785, 782, 783, 
124, 787, 784, 783, 784, 
125, 788, 786, 784, 784, 
126, 790, 793, 785, 788, 
127, 791, 791, 786, 791, 
128, 793, 795, 787, 791, 
129, 795, 797, 791, 792, 
130, 796, 795, 790, 794, 
131, 802, 795, 796, 796, 
132, 802, 797, 796, 796, 
133, 804, 798, 798, 800, 
134, 806, 802, 802, 803, 
135, 806, 806, 804, 805, 
136, 806, 805, 803, 808, 
137, 808, 808, 806, 807, 
138, 808, 810, 807, 809, 
139, 809, 810, 807, 809, 
140, 811, 812, 808, 812, 
141, 811, 812, 810, 813, 
142, 812, 814, 810, 814, 
143, 815, 817, 814, 814, 
144, 815, 817, 816, 816, 
145, 817, 817, 818, 816, 
146, 817, 820, 820, 818, 
147, 817, 821, 821, 821, 
148, 819, 824, 821, 822, 
149, 822, 824, 822, 824, 
150, 820, 825, 824, 825, 
151, 822, 825, 825, 826, 
152, 823, 827, 826, 828, 
153, 824, 826, 826, 828, 
154, 826, 827, 828, 829, 
155, 827, 830, 829, 832, 
156, 829, 831, 830, 831, 
157, 829, 831, 830, 831, 
158, 829, 833, 831, 831, 
159, 831, 833, 832, 832, 
160, 831, 833, 834, 833, 
161, 834, 834, 833, 835, 
162, 834, 837, 835, 835, 
