Runtime (microseconds), 538348
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3
0, 546, 535, 538, 544, 
1, 546, 546, 546, 546, 
2, 548, 565, 551, 556, 
3, 555, 566, 557, 570, 
4, 571, 581, 561, 582, 
5, 573, 581, 575, 581, 
6, 588, 583, 577, 591, 
7, 587, 585, 589, 591, 
8, 589, 585, 597, 592, 
9, 595, 589, 592, 594, 
10, 598, 593, 595, 596, 
11, 603, 597, 603, 596, 
12, 606, 601, 606, 598, 
13, 608, 610, 614, 601, 
14, 608, 609, 617, 606, 
15, 610, 611, 620, 610, 
16, 610, 613, 622, 614, 
17, 613, 616, 625, 626, 
18, 615, 623, 627, 623, 
19, 615, 631, 629, 629, 
20, 616, 631, 631, 630, 
21, 616, 631, 631, 634, 
22, 617, 633, 633, 634, 
23, 618, 636, 635, 642, 
24, 618, 637, 634, 641, 
25, 621, 640, 637, 645, 
26, 623, 639, 639, 644, 
27, 624, 641, 644, 647, 
28, 624, 642, 648, 649, 
29, 626, 644, 647, 649, 
30, 627, 645, 649, 651, 
31, 630, 646, 652, 654, 
32, 631, 647, 653, 655, 
33, 632, 649, 656, 656, 
34, 637, 651, 657, 657, 
35, 637, 653, 657, 664, 
36, 639, 653, 658, 665, 
37, 642, 653, 661, 666, 
38, 643, 657, 661, 667, 
39, 645, 658, 663, 671, 
40, 646, 658, 663, 672, 
41, 647, 659, 666, 672, 
42, 649, 660, 668, 673, 
43, 651, 663, 668, 674, 
44, 653, 663, 668, 675, 
45, 654, 664, 671, 675, 
46, 654, 667, 673, 678, 
47, 655, 670, 675, 678, 
48, 658, 671, 676, 679, 
49, 659, 672, 676, 680, 
50, 660, 673, 678, 685, 
51, 661, 674, 678, 684, 
52, 661, 676, 680, 685, 
53, 662, 677, 681, 686, 
54, 663, 679, 681, 688, 
55, 665, 679, 683, 689, 
56, 666, 682, 683, 691, 
57, 668, 682, 684, 692, 
58, 670, 684, 686, 692, 
59, 671, 684, 688, 694, 
60, 672, 686, 690, 696, 
61, 672, 687, 691, 696, 
62, 673, 688, 690, 698, 
63, 677, 690, 693, 698, 
64, 678, 690, 692, 700, 
65, 680, 691, 698, 700, 
66, 681, 695, 699, 701, 
67, 682, 695, 702, 703, 
68, 684, 698, 710, 704, 
69, 686, 698, 710, 709, 
70, 689, 699, 713, 711, 
71, 691, 702, 716, 711, 
72, 691, 703, 717, 716, 
73, 691, 703, 720, 715, 
74, 692, 705, 722, 718, 
75, 694, 707, 723, 722, 
76, 694, 707, 724, 723, 
77, 695, 709, 723, 726, 
78, 696, 711, 725, 729, 
79, 699, 712, 726, 729, 
80, 698, 713, 730, 730, 
81, 702, 716, 731, 730, 
82, 703, 716, 733, 731, 
83, 704, 716, 732, 733, 
84, 704, 718, 734, 735, 
85, 705, 719, 734, 737, 
86, 708, 721, 736, 739, 
87, 709, 721, 738, 745, 
88, 710, 723, 738, 746, 
89, 712, 724, 741, 751, 
90, 712, 724, 741, 751, 
91, 714, 725, 742, 751, 
